files_changed_count,lines_added,lines_deleted,avg_line_coverage,avg_branch_coverage,avg_method_coverage,avg_mutation_score,tests_passed,total_test_duration_ms,lines_modified,complexity,num_classes,repository_id_github_spring-projects_spring-petclinic,author_email_1328032567@qqcom,author_email_161004381+portfoliodeekshith@usersnoreplygithubcom,author_email_7701272+afcasco@usersnoreplygithubcom,author_email_AnyulRivas@ingrammicrocom,author_email_akantileubergenov@gmailcom,author_email_andrey1010102008@gmailcom,author_email_andrzejsydor@usersnoreplygithubcom,author_email_antoinerey@freefr,author_email_anyulled@gmailcom,author_email_bansalbhumika13@gmailcom,author_email_contact@patbaumgartnercom,author_email_davidsyer@broadcomcom,author_email_dejan2609@gmailcom,author_email_denisfuenzalida@gmailcom,author_email_dsyer@vmwarecom,author_email_feelgood1987@gmailcom,author_email_guilhermesoares1970@gmailcom,author_email_henribonrec@gmailcom,author_email_jang8584@gmailcom,author_email_joaobertholino964@gmailcom,author_email_juliendubois@gmailcom,author_email_manwarvishant19@gmailcom,author_email_mbateh@protonmailcom,author_email_mdshadabsheikh@gmailcom,author_email_moritzhalbritter@broadcomcom,author_email_msoh@cotonsai,author_email_oganesbozoyan@raiffeisenru,author_email_patrickbaumgartner@42talentscom,author_email_pedrochevallier@gmailcom,author_email_philippemarschall@gmailcom,author_email_potdaranuj@gmailcom,author_email_qeeqez@gmailcom,author_email_romeroab@vmwarecom,author_email_sebastiendeleuze@broadcomcom,author_email_shjung@aiparkai,author_email_stephanenicoll@broadcomcom,author_email_tgrall@githubcom,author_email_thomasperkins1123@gmailcom,author_email_uv993mkf9e@protonmailcom,author_name_Abel Salgado Romero,author_name_Alex,author_name_Andrey Litvitski,author_name_Antoine Rey,author_name_Anyul Rivas,author_name_Dave Syer,author_name_Denis Fuenzalida,author_name_Guilherme Soares,author_name_João Bertholino,author_name_Julien Dubois,author_name_Maksim Sasnouski,author_name_Moritz Halbritter,author_name_Mousa Al Bateh,author_name_Patrick Baumgartner,author_name_Pedro Chevallier,author_name_Philippe Marschall,author_name_Stéphane Nicoll,author_name_Sébastien Deleuze,author_name_Tugdual Grall,author_name_VishantOwO,author_name_YiXuan Ding,author_name_akantileubergenov,author_name_andrzejsydor,author_name_anizmo,author_name_bansalbhumika13-beep,author_name_dejan2609,author_name_feelgood1987,author_name_ghost,author_name_henribon,author_name_jang8584,author_name_minsungoh,author_name_portfoliodeekshith,author_name_ruabooe,author_name_shadab-stack,author_name_shjung1999,author_name_thomasperkins1123,author_type_Unknown,file_type_java,commit_id,commit_date,target,churn,num_authors,bug_fix_proximity
2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26,2025-06-07 15:38:47,1,40,9,147
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25,2025-06-08 06:30:06,1,28,7,75
3.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24,2025-07-04 15:28:34,1,14,9,332
8.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19,2025-07-31 07:03:40,1,44,4,167
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18,2025-07-31 07:08:17,1,64,5,177
7.0,20.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17,2025-09-01 15:42:56,1,88,3,346
26.0,171.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,4.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16,2025-09-02 11:12:56,1,70,4,126
1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20,2025-09-16 11:42:38,1,8,2,29
3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21,2025-09-26 13:39:55,1,87,5,180
11.0,118.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,3.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23,2025-10-04 08:32:59,1,0,3,198
